קוד פנימי,פריט,שם פריט,מחלקה,שם קבוצה,שם ספק,שם יצרן,שם צבע,מידה,שם יובש,שונות,תאריך הקמה,ת. העברה לארכיון,ת. יציאה מארכיוןמחיר מחירון 1,,יתרת מלאי,נמכר באילת לפי ת.ז,אחריות
1914,1,כללי,98,,,,,,,,02/11/2015,,20/07/2017,,,לא,
310,2,פקדון,17,,,,,,,,05/02/2014,,,.3,12246,לא,
740,3,פקדון  ארגז בירות,17,,,,,,,,28/01/2015,,,,,לא,
3034,4,טעימה,98,,,,,,,,08/07/2020,,,,623,לא,
2330,23,יינות  G סדרה 1 גוורצטרמינר,1,יין לבן יבש,,,,,,,04/09/2017,12/04/2018,,,,לא,
2148,33,אריזת מתנה,98,,,,,,,,20/09/2016,,,2,1,לא,
2338,38,dancing camel  docs,16,,,,,,,,05/09/2017,26/06/2018,,,,לא,
2375,88,מזקקת רמת הגולן  ערק זהב,14,,,,,,,,02/10/2017,25/02/2020,,95,,לא,
2486,101,TITORA  Merlo 2016,1,יין אדום יבש,,,,,,,10/02/2018,26/06/2018,,,,לא,
2487,102,TITORA  Cabernet Sauvignon 2016,1,יין אדום יבש,,,,,,,10/02/2018,26/06/2018,,,,לא,
2444,111,הר אדר  קברנה,1,יין אדום יבש,,,,,,,01/01/2018,02/07/2019,,,,לא,
2542,114,טורא  שמן זית 5 ליטר,7,,,,,,,,08/04/2018,07/02/2019,,,,לא,
2476,131,שירן  החזן 13,1,יין אדום יבש,,,,,,,10/02/2018,07/02/2019,,,,לא,
2331,233,יינות  G סדרה 1 שרדונה,1,יין לבן יבש,,,,,,,04/09/2017,12/04/2018,,,,לא,
2329,234,אייל  סול קברנה סוביניון,1,יין אדום יבש,,,,,,,04/09/2017,07/02/2019,,,,לא,
2485,389,יזרעאל  רוזה 17,1,יין רוזה,,,,,,,10/02/2018,07/02/2019,,,,לא,
642,500,כרטיס מתנה,18,,,,,,,,02/11/2014,,,,2,לא,
643,501,מימוש כרטיס מתנה,18,,,,,,,,02/11/2014,,,,,לא,
2367,729,יקב רוטה  עדי,1,יין אדום יבש,,,,,,,02/10/2017,04/11/2019,,,,לא,
346,777,כרטיס מוזל לתערוכה 2016,18,,פיופ,,,,,,11/02/2014,26/06/2018,,80,,לא,
2803,789,מארז משלוח מנות,18,,,,,,,,20/03/2019,,,190,30,לא,
347,888,כרטיס מוזל לתערוכה 2014 - 68₪,18,,פיופ,,,,,,11/02/2014,06/03/2016,,68,,לא,
2216,999,הרצברג  וילז',1,יין אדום יבש,ב.ד.ס.פ. - הרצברג,,אדום,750,יבש,,16/02/2017,08/10/2019,,79,,לא,
