post_title,ID,post_content,post_excerpt,sku,product_page_url,wpml:language_code,wpml:original_product_id,wpml:original_product_sku,meta:rank_math_description,meta:rank_math_focus_keyword,meta:woosb_after_text,meta:woosb_before_text,meta:woosb_custom_price,meta:woosb_disable_auto_price,meta:woosb_discount,meta:woosb_discount_amount,meta:woosb_exclude_unpurchasable,meta:woosb_ids,meta:woosb_layout,meta:woosb_limit_each_max,meta:woosb_limit_each_min,meta:woosb_limit_each_min_default,meta:woosb_limit_whole_max,meta:woosb_limit_whole_min,meta:woosb_manage_stock,meta:woosb_optional_products,meta:woosb_shipping_fee,meta:woosb_total_limits,meta:woosb_total_limits_max,meta:woosb_total_limits_min
"אדיר A",452,"אדיר A הוא בלנד שמלמד אותנו שנה אחרי שנה על האיכות והמקצועיות של היקב. כל שנה, בעקביות הוא מצויין. גם השנה הוא מפנק במיוחד, עשיר מלא וקטיפתי.

יין אדום יבש
בציר: 2016 
כוהל בנפח: 14.0% 
נפח: 750 מ”ל 
אזור: גליל
ענב(ים): שיראז, פטיט סירה, קברנה פרנק
עוצמה (מ-1 עד 5): 4
מורכבות (מ-1 עד 5): 4
הרמוניה עם טעמים: עשירים או אינטנסיביים
קונטרסט עם טעמים: עדינים

כשרות: הרב מרדכי אונגר - מאנסי, בד""ץ בית יוסף, רבנות מרום הגליל 

<b>* צאו למסע טעים. כל יין שאנו מציעים נטעם על ידינו תחילה, מה שמבטיח איכות ושווי.</b>

עוצמה גבוהה (4 מתוך 5) - יינות בעלי עוצמה גבוהה הם נועזים ובעלי הבעה, עם ארומות בולטות וטעמים מרוכזים. הם מספקים חווית יין בעלת השפעה רבה יותר. יינות אלה עומדים היטב במזונות עשירים וטעימים יותר, לעתים קרובות חותכים דרך עושר או משלימים תבלינים חזקים.

מורכבות גבוהה (4 מתוך 5) - יינות בעלי מורכבות גבוהה מציגים מגוון רחב של ארומות וטעמים, שלעתים קרובות מתפתחים בכוס. הם מציעים חוויה רב-שכבתית ומסקרנת, עם ניואנסים שניתן לגלות עם הזמן.

התאמה הרמונית (טעמים הולמים) מאחדת יינות ומאכלים בעלי רכיבי טעם דומים, ויוצרים חוויה הרמונית שבה הטעמים מחזקים זה את זה. הרמוניה עם טעמים:
 • טעמים עשירים: סלמון ודגים דומים, בשר אדום, מאכלים שמנים וגבינות קשות רבות.
 • טעמים עזים: מנות מתובלות וחריפות מאוד, ומזונות עם טעמים חזקים ובולטים יותר.

התאמה בניגודיות (טעמים משלימים) מאחדים יינות ומאכלים עם מעט רכיבי טעם משותפים. זה יוצר איזון דינמי, שבו הטעמים השונים משלימים ומשפרים זה את זה. קונטרסט עם טעמים:
 • טעמים עדינים: גבינות רכות, דג לבן, עוף מתובל קלות, פסטה ברוטב עדין.
",,7290004528713,https://jlmwines.com/he/product/adir-a/,he,13,7290004528713,"אדיר A הוא בלנד שמלמד אותנו שנה אחרי שנה על האיכות והמקצועיות של היקב. כל שנה, בעקביות הוא מצויין. גם השנה הוא מפנק במיוחד, עשיר מלא וקטיפתי.","אדיר A",,,,,,,,,,,,,,,,,,,,
"אדיר קברנה סוביניון",524,"אדיר קברנה סוביניון הוא כבר מושג בפני עצמו. בעקביות רבה, וגם הפעם, הוא עשיר בטעמים ואינטינסיבי עם סיומת מתובלת.

יין אדום יבש
בציר: 2021 
כוהל בנפח: 14.0% 
נפח: 750 מ”ל 
אזור: גליל
ענב(ים): קברנה סוביניון
עוצמה (מ-1 עד 5): 4
מורכבות (מ-1 עד 5): 4
הרמוניה עם טעמים: עשירים או אינטנסיביים

כשרות: הרב מרדכי אונגר - מאנסי, בד""ץ בית יוסף, רבנות מרום הגליל 

<b>* פתחו את הפקק בביטחון. אנו טועמים כל יין לפני ההזמנה, כך שתמיד תקבלו יינות איכותיים ושווים.</b>

עוצמה גבוהה (4 מתוך 5) - יינות בעלי עוצמה גבוהה הם נועזים ובעלי הבעה, עם ארומות בולטות וטעמים מרוכזים. הם מספקים חווית יין בעלת השפעה רבה יותר. יינות אלה עומדים היטב במזונות עשירים וטעימים יותר, לעתים קרובות חותכים דרך עושר או משלימים תבלינים חזקים.

מורכבות גבוהה (4 מתוך 5) - יינות בעלי מורכבות גבוהה מציגים מגוון רחב של ארומות וטעמים, שלעתים קרובות מתפתחים בכוס. הם מציעים חוויה רב-שכבתית ומסקרנת, עם ניואנסים שניתן לגלות עם הזמן.

התאמה הרמונית (טעמים הולמים) מאחדת יינות ומאכלים בעלי רכיבי טעם דומים, ויוצרים חוויה הרמונית שבה הטעמים מחזקים זה את זה. הרמוניה עם טעמים:
 • טעמים עשירים: סלמון ודגים דומים, בשר אדום, מאכלים שמנים וגבינות קשות רבות.
 • טעמים עזים: מנות מתובלות וחריפות מאוד, ומזונות עם טעמים חזקים ובולטים יותר.
",,7290004528362,https://jlmwines.com/he/product/adir-cabernet-sauvignon/,he,14,7290004528362,"אדיר קברנה סוביניון הוא כבר מושג בפני עצמו. בעקביות רבה, וגם הפעם, הוא עשיר בטעמים ואינטינסיבי עם סיומת מתובלת. ","אדיר קברנה סוביניון",,,,,,,,,,,,,,,,,,,,
"בנימינה גוורצטרמינר",528,"בנימינה גוורצטרמינר - המצוי בצד הנוטה ליובש בסקאלת היינות היבשים למחצה, מתאפיין בחמיצות קלילה המאפשרת לו להיות ארומתי ומרענן כאחד.

יין חצי יבש
בציר: 2019 
כוהל בנפח: 13.0% 
נפח: 750 מ”ל 
אזור: נגב
ענב(ים): גוורצטרמינר
מורכבות (מ-1 עד 5): 2
חומציות (מ-1 עד 5): 2
הרמוניה עם טעמים: מתוקים
קונטרסט עם טעמים: אינטנסיביים

כשרות: חוג חתם סופר - בני ברק 

<b>* גלו וגלו יינות בביטחון. אנו טועמים לפני ההזמנה, כדי להציע רק יינות איכותיים ושווים.</b>

מורכבות נמוכה (2 מתוך 5) - יינות בעלי מורכבות נמוכה מציעים מעט ניואנסים, עם ארומות או טעמים מובחנים יותר. החוויה נשארת פשוטה יחסית אך עם מעט עומק יותר מיינות ממש בסיסיים.

חמיצות נמוכה (2 מתוך 5) - יינות בעלי חמיצות נמוכה יותר מרגישים רכים ועגולים יותר בטעם, וחסרים את החמיצות הבוטה. הם יכולים להרגיש חלקים ועגולים . כאשר משלבים אותם עם אוכל, הם נוטים להשלים ולא להתנגד, ולעתים קרובות עובדים היטב עם מנות עשירות יותר ופחות חומציות. 

התאמה הרמונית (טעמים הולמים) מאחדת יינות ומאכלים בעלי רכיבי טעם דומים, ויוצרים חוויה הרמונית שבה הטעמים מחזקים זה את זה. הרמוניה עם טעמים:
 • טעמים מתוקים: קינוחים ומאפים, כמו גם מאכלים המוכנים עם רטבים מתוקים, ציפויים או מרכיבים מתוקים.

התאמה בניגודיות (טעמים משלימים) מאחדים יינות ומאכלים עם מעט רכיבי טעם משותפים. זה יוצר איזון דינמי, שבו הטעמים השונים משלימים ומשפרים זה את זה. קונטרסט עם טעמים:
 • טעמים עזים: מנות מתובלות וחריפות מאוד, ומזונות עם טעמים חזקים ובולטים יותר.
",,7290101582410,https://jlmwines.com/he/product/binyamina-gewurztraminer/,he,20,7290101582410,,"בנימינה גוורצטרמינר",,,,,,,,,,,,,,,,,,,,
"בנימינה המושבה שיראז",832,"בנימינה המושבה שיראז מפתיע אותנו באיכותו. הארומות עשירות בפרי וכשטועמים ממנו, הוא עשיר, מלא חיים ושופע פרי עם נגיעה של תבלינים.

יין אדום יבש
שנת בציר: 2024
אלכוהול: 14.0%
גודל: 750 מ”ל
אזור: רמת הגולן
ענב(ים): שיראז
עוצמה: 3
מורכבות: 3
הרמוניה עם טעמים: עדינים או עשירים
קונטרסט עם טעמים: עזים או מתוקים

כשרות: OU-P, חוג חתם סופר - בני ברק, רבננות בנימינה - גבעת עדה, בד""ץ בית יוסף

<b>* צאו למסע טעים. כל יין שאנו מציעים נטעם על ידינו תחילה, מה שמבטיח איכות ושווי.</b>

עוצמה בינונית (3 מתוך 5) - יינות בעלי עוצמה בינונית מציגים ביטוי מאוזן של ארומות וטעמים. הם מציעים נוכחות בהחלט מורגשת על החך מבלי להיות כבדים. יינות אלה רב-תכליתיים עם אוכל, ומסוגלים להשלים מגוון מנות מבלי להשתלט על אלמנטים עדינים יותר או ללכת לאיבוד עם אלמנטים עשירים יותר.

מורכבות בינונית (3 מתוך 5) - יינות בעלי מורכבות בינונית מראים משחק גומלין ניכר של מספר ארומות וטעמים, לעיתים עם טעם שמתמפתח עם הזמןו. החוויה מרתקת יותר, עם שכבות שנפרשות לפנינו לאורך זמן.

התאמה הרמונית (טעמים הולמים) מאחדת יינות ומאכלים בעלי רכיבי טעם דומים, ויוצרים חוויה הרמונית שבה הטעמים מחזקים זה את זה.
• טעמים עדינים: גבינות רכות, דג לבן, עוף מתובל קלות, פסטה ברוטב עדין.
• טעמים עשירים: סלמון ודגים דומים, בשר אדום, מאכלים שמנים וגבינות קשות רבות.

התאמה בניגודיות (טעמים משלימים) מאחדים יינות ומאכלים עם מעט רכיבי טעם משותפים. זה יוצר איזון דינמי, שבו הטעמים השונים משלימים ומשפרים זה את זה.
• טעמים עזים: מנות מתובלות וחריפות מאוד, ומזונות עם טעמים חזקים ובולטים יותר.
• טעמים מתוקים: קינוחים ומאפים, כמו גם מאכלים המוכנים עם רטבים מתוקים, ציפויים או מרכיבים מתוקים.","עשיר, מעניין, תמורה מדהימה למחיר.",7290101582403,https://jlmwines.com/he/product/binyamina-hamoshava-shiraz/,he,21,7290101582403,"בנימינה המושבה שיראז מפתיע אותנו באיכותו. הארומות עשירות בפרי וכשטועמים ממנו, הוא עשיר, מלא חיים ושופע פרי עם נגיעה של תבלינים.","בנימינה המושבה שיראז",,,,,,,,,,,,,,,,,,,,
"בנימינה רזרב קברנה סוביניון",836,"בנימינה רזרב קברנה סוביניון - זהו קברנה סוביניון גדוש בפירותיות. עושר הפרי והעוצמה של הטעמים מותאמים מאוד  לארוחה עשירה וכבדה.

יין אדום יבש
בציר: 2010 
כוהל בנפח: 14.0% 
נפח: 750 מ”ל 
אזור: גליל
ענב(ים): קברנה סוביניון
עוצמה (מ-1 עד 5): 4
מורכבות (מ-1 עד 5): 3
הרמוניה עם טעמים: אינטנסיביים
קונטרסט עם טעמים: עדינים
מומלץ לאוורור - 15 דקות

כשרות: בד""ץ מהדרין - הרב רובין 

<b>* צאו למסע טעים. כל יין שאנו מציעים נטעם על ידינו תחילה, מה שמבטיח איכות ושווי.</b>

עוצמה גבוהה (4 מתוך 5) - יינות בעלי עוצמה גבוהה הם נועזים ובעלי הבעה, עם ארומות בולטות וטעמים מרוכזים. הם מספקים חווית יין בעלת השפעה רבה יותר. יינות אלה עומדים היטב במזונות עשירים וטעימים יותר, לעתים קרובות חותכים דרך עושר או משלימים תבלינים חזקים.

מורכבות בינונית (3 מתוך 5) - יינות בעלי מורכבות בינונית מראים משחק גומלין ניכר של מספר ארומות וטעמים, לעיתים עם  טעם שמתמפתח עם הזמןו. החוויה מרתקת יותר, עם שכבות שנפרשות לפנינו לאורך זמן.

התאמה הרמונית (טעמים הולמים) מאחדת יינות ומאכלים בעלי רכיבי טעם דומים, ויוצרים חוויה הרמונית שבה הטעמים מחזקים זה את זה. הרמוניה עם טעמים:
 • טעמים עזים: מנות מתובלות וחריפות מאוד, ומזונות עם טעמים חזקים ובולטים יותר.

התאמה בניגודיות (טעמים משלימים) מאחדים יינות ומאכלים עם מעט רכיבי טעם משותפים. זה יוצר איזון דינמי, שבו הטעמים השונים משלימים ומשפרים זה את זה. קונטרסט עם טעמים:
 • טעמים עדינים: גבינות רכות, דג לבן, עוף מתובל קלות, פסטה ברוטב עדין.
","עשיר ואינטנסיבי. ",7290101581673,https://jlmwines.com/he/product/binyamina-reserve-cabernet-sauvignon/,he,23,7290101581673,,"בנימינה רזרב קברנה סוביניון",,,,,,,,,,,,,,,,,,,,
"בנימינה רזרב שיראז",838,"בנימינה רזרב שיראז הוא יין עדין ונעים וכך מנשתלב היטב בכמעט כל סיטואציה. יש לו ריח עדין שבבסיסו פרי כחול עם מעט תבלינים שחורים. הטעם גם עדין עם סיומת שמזכירה שוקולד מריר.

יין אדום יבש
בציר: 2021 
כוהל בנפח: 14.0% 
נפח: 750 מ”ל 
אזור: גליל
ענב(ים): שיראז
עוצמה (מ-1 עד 5): 2
מורכבות (מ-1 עד 5): 3
הרמוניה עם טעמים: עדינים
קונטרסט עם טעמים: עשירים, אינטנסיביים או מתוקים

כשרות: OU-P, חוג חתם סופר - בני ברק, רבננות בנימינה - גבעת עדה 

<b>* גלו וגלו יינות בביטחון. אנו טועמים לפני ההזמנה, כדי להציע רק יינות איכותיים ושווים.</b>

עוצמה נמוכה (2 מתוך 5) - יינות בעלי עוצמה נמוכה מציעים אופי מורגש יותר אך עדיין עדין. טעמים וארומות נוכחים אך אינם בוטים. הם מספקים חווית יין קלילה יותר, המתאימה למנות קלילות יותר שבהן היין משמש כתוספת עדינה, לא שולט ולא נעלם.

מורכבות בינונית (3 מתוך 5) - יינות בעלי מורכבות בינונית מראים משחק גומלין ניכר של מספר ארומות וטעמים, לעיתים עם  טעם שמתמפתח עם הזמןו. החוויה מרתקת יותר, עם שכבות שנפרשות לפנינו לאורך זמן.

התאמה הרמונית (טעמים הולמים) מאחדת יינות ומאכלים בעלי רכיבי טעם דומים, ויוצרים חוויה הרמונית שבה הטעמים מחזקים זה את זה. הרמוניה עם טעמים:
 • טעמים עדינים: גבינות רכות, דג לבן, עוף מתובל קלות, פסטה ברוטב עדין.

התאמה בניגודיות (טעמים משלימים) מאחדים יינות ומאכלים עם מעט רכיבי טעם משותפים. זה יוצר איזון דינמי, שבו הטעמים השונים משלימים ומשפרים זה את זה. קונטרסט עם טעמים:
 • טעמים עשירים: סלמון ודגים דומים, בשר אדום, מאכלים שמנים וגבינות קשות רבות.
 • טעמים עזים: מנות מתובלות וחריפות מאוד, ומזונות עם טעמים חזקים ובולטים יותר.
 • טעמים מתוקים: קינוחים ומאפים, כמו גם מאכלים המוכנים עם רטבים מתוקים, ציפויים או מרכיבים מתוקים.
",,7290101581710,https://jlmwines.com/he/product/binyamina-reserve-shiraz/,he,25,7290101581710,"בנימינה רזרב שיראז הוא יין עדין ונעים וכך מנשתלב היטב בכמעט כל סיטואציה. יש לו ריח עדין שבבסיסו פרי כחול עם מעט תבלינים שחורים. הטעם גם עדין עם סיומת שמזכירה שוקולד מריר.","בנימינה רזרב שיראז",,,,,,,,,,,,,,,,,,,,
"בנימינה יהלום",840,"בנימינה יהלום - זהו בלנד קלאסי המבוסס בעיקר על קברנה סוביניון בעל מרקם חלק ועשיר שמעניק ליין טעם מוכר ומתובל.

יין אדום יבש
בציר: 2016 
כוהל בנפח: 14.0% 
נפח: 750 מ”ל 
אזור: גליל
ענב(ים): קברנה סוביניון, מרלו, סירה, פטי ורדו
עוצמה (מ-1 עד 5): 4
מורכבות (מ-1 עד 5): 4
הרמוניה עם טעמים: אינטנסיביים
קונטרסט עם טעמים: עדינים
מומלץ לאוורור - 30 דקות

כשרות: רבננות בנימינה - גבעת עדה 

<b>* טעמו את ההבדל, בביטחון. על ידי טעימת יינות בעצמנו לפני ההזמנה, אנו מבטיחים שתמצאו כאן רק איכות ושווי.</b>

עוצמה גבוהה (4 מתוך 5) - יינות בעלי עוצמה גבוהה הם נועזים ובעלי הבעה, עם ארומות בולטות וטעמים מרוכזים. הם מספקים חווית יין בעלת השפעה רבה יותר. יינות אלה עומדים היטב במזונות עשירים וטעימים יותר, לעתים קרובות חותכים דרך עושר או משלימים תבלינים חזקים.

מורכבות גבוהה (4 מתוך 5) - יינות בעלי מורכבות גבוהה מציגים מגוון רחב של ארומות וטעמים, שלעתים קרובות מתפתחים בכוס. הם מציעים חוויה רב-שכבתית ומסקרנת, עם ניואנסים שניתן לגלות עם הזמן.

התאמה הרמונית (טעמים הולמים) מאחדת יינות ומאכלים בעלי רכיבי טעם דומים, ויוצרים חוויה הרמונית שבה הטעמים מחזקים זה את זה. הרמוניה עם טעמים:
 • טעמים עזים: מנות מתובלות וחריפות מאוד, ומזונות עם טעמים חזקים ובולטים יותר.

התאמה בניגודיות (טעמים משלימים) מאחדים יינות ומאכלים עם מעט רכיבי טעם משותפים. זה יוצר איזון דינמי, שבו הטעמים השונים משלימים ומשפרים זה את זה. קונטרסט עם טעמים:
 • טעמים עדינים: גבינות רכות, דג לבן, עוף מתובל קלות, פסטה ברוטב עדין.
",,7290101581628,https://jlmwines.com/he/product/binyamina-yahalom/,he,26,7290101581628,,"בנימינה יהלום",,,,,,,,,,,,,,,,,,,,
"שאטו רמו גרנד בלנד",843,"שאטו רמו גרנד בלנד הוא בלנד דומיננטי ועשיר. בבלנד הזה הקברנה סוביניון והפטי ורדו נותנים טעמים משלימים לחוויה עשירה כל כך.

יין אדום יבש
בציר: 2018 
כוהל בנפח: 14.0% 
נפח: 750 מ”ל 
אזור: גליל
ענב(ים): קברנה סוביניון, פטי ורדו
עוצמה (מ-1 עד 5): 4
מורכבות (מ-1 עד 5): 4
הרמוניה עם טעמים: אינטנסיביים
מומלץ לאוורור - 30 דקות

כשרות: בד""ץ מהדרין - הרב רובין 

<b>* פתחו את הפקק בביטחון. אנו טועמים כל יין לפני ההזמנה, כך שתמיד תקבלו יינות איכותיים ושווים.</b>

עוצמה גבוהה (4 מתוך 5) - יינות בעלי עוצמה גבוהה הם נועזים ובעלי הבעה, עם ארומות בולטות וטעמים מרוכזים. הם מספקים חווית יין בעלת השפעה רבה יותר. יינות אלה עומדים היטב במזונות עשירים וטעימים יותר, לעתים קרובות חותכים דרך עושר או משלימים תבלינים חזקים.

מורכבות גבוהה (4 מתוך 5) - יינות בעלי מורכבות גבוהה מציגים מגוון רחב של ארומות וטעמים, שלעתים קרובות מתפתחים בכוס. הם מציעים חוויה רב-שכבתית ומסקרנת, עם ניואנסים שניתן לגלות עם הזמן.

התאמה הרמונית (טעמים הולמים) מאחדת יינות ומאכלים בעלי רכיבי טעם דומים, ויוצרים חוויה הרמונית שבה הטעמים מחזקים זה את זה. הרמוניה עם טעמים:
 • טעמים עזים: מנות מתובלות וחריפות מאוד, ומזונות עם טעמים חזקים ובולטים יותר.
",,7290018795002,https://jlmwines.com/he/product/chateau-remo-grand-blend/,he,27,7290018795002,"שאטו רמו גרנד בלנד הוא בלנד דומיננטי ועשיר. בבלנד הזה הקברנה סוביניון והפטי ורדו נותנים טעמים משלימים לחוויה עשירה כל כך. ","שאטו רמו גרנד בלנד",,,,,,,,,,,,,,,,,,,,
"שאטו רמו בלנד חוסן",845,"שאטו רמו בלנד חוסן ממשיך את קודמיו בצורה נפלאה. הוא בלנד קלאסי עם ריח עשיר של פירות שחורים ותבלינים. הטעם שלו מרוכז, עשיר ואינטניסיבי.

יין אדום יבש
בציר: 2020 
כוהל בנפח: 13.5% 
נפח: 750 מ”ל 
אזור: גליל
ענב(ים): קברנה סוביניון, שיראז, פטי ורדו
עוצמה (מ-1 עד 5): 4
מורכבות (מ-1 עד 5): 4
הרמוניה עם טעמים: עשירים או אינטנסיביים
קונטרסט עם טעמים: עדינים

כשרות: בד""ץ מהדרין - הרב רובין 

<b>* טעמו את ההבדל, בביטחון. על ידי טעימת יינות בעצמנו לפני ההזמנה, אנו מבטיחים שתמצאו כאן רק איכות ושווי.</b>

עוצמה גבוהה (4 מתוך 5) - יינות בעלי עוצמה גבוהה הם נועזים ובעלי הבעה, עם ארומות בולטות וטעמים מרוכזים. הם מספקים חווית יין בעלת השפעה רבה יותר. יינות אלה עומדים היטב במזונות עשירים וטעימים יותר, לעתים קרובות חותכים דרך עושר או משלימים תבלינים חזקים.

מורכבות גבוהה (4 מתוך 5) - יינות בעלי מורכבות גבוהה מציגים מגוון רחב של ארומות וטעמים, שלעתים קרובות מתפתחים בכוס. הם מציעים חוויה רב-שכבתית ומסקרנת, עם ניואנסים שניתן לגלות עם הזמן.

התאמה הרמונית (טעמים הולמים) מאחדת יינות ומאכלים בעלי רכיבי טעם דומים, ויוצרים חוויה הרמונית שבה הטעמים מחזקים זה את זה. הרמוניה עם טעמים:
 • טעמים עשירים: סלמון ודגים דומים, בשר אדום, מאכלים שמנים וגבינות קשות רבות.
 • טעמים עזים: מנות מתובלות וחריפות מאוד, ומזונות עם טעמים חזקים ובולטים יותר.

התאמה בניגודיות (טעמים משלימים) מאחדים יינות ומאכלים עם מעט רכיבי טעם משותפים. זה יוצר איזון דינמי, שבו הטעמים השונים משלימים ומשפרים זה את זה. קונטרסט עם טעמים:
 • טעמים עדינים: גבינות רכות, דג לבן, עוף מתובל קלות, פסטה ברוטב עדין.
",,7290019462798,https://jlmwines.com/he/product/chateau-remo-hosen-blend/,he,29,7290019462798,"שאטו רמו בלנד חוסן ממשיך את קודמיו בצורה נפלאה. הוא בלנד קלאסי עם ריח עשיר של פירות שחורים ותבלינים. הטעם שלו מרוכז, עשיר ואינטניסיבי.","שאטו רמו בלנד חוסן",,,,,,,,,,,,,,,,,,,,
"שאטו רמו רזרב קברנה סוביניון",847,"שאטו רמו רזרב קברנה סוביניון הוא דוגמא מצויינת לאיכויותיו של הזן הזה. בריח הוא משלב הרבה פרי ותבלינים. בטעם הוא עשיר, עמוק עם הרבה פרי, נגיעה של פלפל ירוק ומלווה בתבלינים.

יין אדום יבש
בציר: 2019 
כוהל בנפח: 14.5% 
נפח: 750 מ”ל 
אזור: גליל
ענב(ים): קברנה סוביניון
עוצמה (מ-1 עד 5): 4
מורכבות (מ-1 עד 5): 3
הרמוניה עם טעמים: עשירים או אינטנסיביים
קונטרסט עם טעמים: עדינים
מומלץ לאוורור - 45 דקות

כשרות: בד""ץ מהדרין - הרב רובין 

<b>* גלו את המזיגה המושלמת שלכם. איכות ושווי הם ההבטחה שלנו, המושגת באמצעות טעימה אישית של כל יין לפני שאנו מציעים אותו.</b>

עוצמה גבוהה (4 מתוך 5) - יינות בעלי עוצמה גבוהה הם נועזים ובעלי הבעה, עם ארומות בולטות וטעמים מרוכזים. הם מספקים חווית יין בעלת השפעה רבה יותר. יינות אלה עומדים היטב במזונות עשירים וטעימים יותר, לעתים קרובות חותכים דרך עושר או משלימים תבלינים חזקים.

מורכבות בינונית (3 מתוך 5) - יינות בעלי מורכבות בינונית מראים משחק גומלין ניכר של מספר ארומות וטעמים, לעיתים עם  טעם שמתמפתח עם הזמןו. החוויה מרתקת יותר, עם שכבות שנפרשות לפנינו לאורך זמן.

התאמה הרמונית (טעמים הולמים) מאחדת יינות ומאכלים בעלי רכיבי טעם דומים, ויוצרים חוויה הרמונית שבה הטעמים מחזקים זה את זה. הרמוניה עם טעמים:
 • טעמים עשירים: סלמון ודגים דומים, בשר אדום, מאכלים שמנים וגבינות קשות רבות.
 • טעמים עזים: מנות מתובלות וחריפות מאוד, ומזונות עם טעמים חזקים ובולטים יותר.

התאמה בניגודיות (טעמים משלימים) מאחדים יינות ומאכלים עם מעט רכיבי טעם משותפים. זה יוצר איזון דינמי, שבו הטעמים השונים משלימים ומשפרים זה את זה. קונטרסט עם טעמים:
 • טעמים עדינים: גבינות רכות, דג לבן, עוף מתובל קלות, פסטה ברוטב עדין.
",,7290019462026,https://jlmwines.com/he/product/chateau-remo-reserve-cabernet-sauvignon/,he,30,7290019462026,"שאטו רמו קברנה סובניון רזרב הוא דוגמא מצויינת לאיכויותיו של הזן הזה. בריח הוא משלב הרבה פרי ותבלינים. בטעם הוא עשיר, עמוק עם הרבה פרי, נגיעה של פלפל ירוק ומלווה בתבלינים.","שאטו רמו רזרב קברנה סוביניון",,,,,,,,,,,,,,,,,,,,
