Title,Subject,Audience,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Total Orders","Total Gross Sales","Total Revenue","Analytics ROI","Campaign Cost","Revenue Created",Visits,"New Visits",Pages/Visit,"Bounce Rate","Time on Site","Goal Conversion Rate","Per Visit Goal Value",Transactions,"Ecommerce Conversion Rate","Per Visit Value","Average Value"
"2021-06-29 News","Wine News","JLM Wines","Jun 29, 2021 05:16 pm",Tuesday,63,61,1,1,2,0,0,29,47.54%,47,10,16.39%,11,0,0,0,0,1c2c920f67,1,154.62,132.16,0.00%,$0.16,$0.00,10,8,11.9,0.00%,03:24,0.00%,$0.00,0,0.00%,$0.00,$0.00
"2021-08-22 Newsletter","New Year, New Features, New Wines 🍷","JLM Wines","Aug 22, 2021 04:44 pm",Sunday,69,67,1,1,2,0,0,34,50.75%,53,10,14.93%,11,1,0,0,0,69484f27fa,0,0,0,0.00%,$0.18,$0.00,9,8,16,0.00%,03:54,0.00%,$0.00,0,0.00%,$0.00,$0.00
BestSederWines,🍷Best🍷Seder🍷Wines🍷,"JLM Wines","Mar 30, 2022 05:34 pm",Wednesday,106,104,1,1,2,0,0,45,43.27%,83,12,11.54%,13,0,1,0,0,00227e84f1,0,0,0,0.00%,$0.28,$0.00,11,10,4.5454545454545,63.64%,00:56,0.00%,$0.00,0,0.00%,$0.00,$0.00
"Seasonal 2022-05-02","Celebrate Yom HaAtzmaut 🎉","JLM Wines","May 02, 2022 11:59 am",Monday,112,110,1,1,2,0,0,57,51.82%,100,11,10.00%,20,0,0,0,0,278792540f,1,170.29,145.55,0.00%,$0.29,$0.00,10,7,13.6,20.00%,08:49,0.00%,$0.00,0,0.00%,$0.00,$0.00
"Explore 2020-05","Ready for Some Grenache?🍇","JLM Wines","May 10, 2022 04:28 pm",Tuesday,114,113,1,0,1,0,0,52,46.02%,83,5,4.42%,9,0,0,0,0,5d20a99550,0,0,0,0.00%,$0.30,$0.00,8,4,3.375,0.00%,00:28,0.00%,$0.00,0,0.00%,$0.00,$0.00
"Value 2020-07","Bargain Wine Pick of the Month","JLM Wines","Jul 10, 2022 08:44 pm",Sunday,122,119,1,2,3,0,0,76,63.87%,152,11,9.24%,16,1,0,0,0,512dcb5c78,0,0,0,0.00%,$0.32,$0.00,12,5,7.3333333333333,0.00%,03:05,0.00%,$0.00,0,0.00%,$0.00,$0.00
"wine news 2022-09","Holiday Wine Update","JLM Wines","Sep 12, 2022 09:01 pm",Monday,146,145,0,1,1,0,0,68,46.90%,127,15,10.34%,32,2,0,0,0,ccfa65d62b,12,1958.39,1644.14,0.00%,$0.38,$0.00,22,17,14,0.00%,07:02,0.00%,$0.00,0,0.00%,$0.00,$0.00
"wine news 2022-10","need wine for sukkot?","JLM Wines","Oct 02, 2022 12:59 pm",Sunday,151,151,0,0,0,0,0,69,45.70%,123,17,11.26%,33,1,0,0,0,0eb8f53347,2,367.96,314.5,0.00%,$0.39,$0.00,29,12,10.931034482759,3.45%,02:56,0.00%,$0.00,0,0.00%,$0.00,$0.00
"explore 2022-12","Shiraz, Syrah, or both? 🍷","JLM Wines","Dec 05, 2022 08:06 pm",Monday,162,162,0,0,0,0,0,82,50.62%,124,18,11.11%,19,1,0,0,0,531d73ef8b,0,0,0,0.00%,$0.42,$0.00,17,12,3.2352941176471,58.82%,01:58,0.00%,$0.00,0,0.00%,$0.00,$0.00
"Chanukah 2022-12","Wines for Chanukah Menus & Gifts 🍩","JLM Wines","Dec 13, 2022 03:58 pm",Tuesday,164,163,1,0,1,0,0,80,49.08%,130,19,11.66%,31,0,0,0,0,090f8a88e8,0,0,0,0.00%,$0.43,$0.00,25,11,2.56,52.00%,01:15,0.00%,$0.00,0,0.00%,$0.00,$0.00
"bundles 2023-01","Wonderful Winter Wines ❄","JLM Wines","Jan 07, 2023 09:06 pm",Saturday,174,172,2,0,2,0,0,89,51.74%,141,28,16.28%,46,0,0,0,0,755eba2432,0,0,0,0.00%,$0.45,$0.00,27,20,2.1851851851852,40.74%,01:30,0.00%,$0.00,0,0.00%,$0.00,$0.00
"value 2023-01","Exceptional Value Wines","JLM Wines","Jan 26, 2023 03:44 pm",Thursday,179,177,2,0,2,0,0,91,51.41%,188,15,8.47%,21,0,0,0,0,6d055ac16e,1,116.22,99.34,0.00%,$0.47,$0.00,11,8,1.4545454545455,63.64%,00:22,0.00%,$0.00,0,0.00%,$0.00,$0.00
"bundles 2023-02","Lighter Wines, or Spicier Flavors?","JLM Wines","Feb 13, 2023 07:02 pm",Monday,181,179,2,0,2,0,0,87,48.60%,158,23,12.85%,45,0,0,0,0,83b10b9569,1,682.84,583.63,0.00%,$0.47,$0.00,34,16,2.4117647058824,52.94%,01:32,0.00%,$0.00,0,0.00%,$0.00,$0.00
