woi_OrderItemId,woi_OrderId,woi_WebIdEn,woi_SKU,woi_Name,woi_Quantity,woi_ItemTotal
1,62564,9315,7290019158394,Tura Mountain Peak,1,196.58
2,62565,62168,850008847523,Tabernacle Reserve Cabernet Sauvignon,4,341.88
3,62569,54982,7443017560410,Nana Grenache,1,84.75
4,62569,57365,7290010173853,Galil Mountain Or Barbera,1,67.8
5,62569,55090,7290015951616,Gamla Sangiovese,1,53.39
6,62569,7702,7290014440197,Midbar Grenache,1,105.93
7,62569,21,7290101582403,Binyamina Moshava Shiraz,1,32.2
8,62571,21,7290101582403,Binyamina Moshava Shiraz,2,64.41
9,62571,38,7290015634120,Ella Valley Everred Blend,2,67.8
10,62571,126,7290010888238,Ramat Negev Kadesh Barnea Malbec,1,50
11,62571,124,7290010888153,Ramat Negev Kadesh Barnea Blend,1,50
12,62571,79,7290018414217,Gvaot Nave,1,75.42
13,62571,129,7290010888542,Ramat Negev Neve Midbar Pinot Gris,1,63.56
14,62571,73,7290018414354,Gvaot Cabernet Sauvignon,1,93.22
15,62571,58728,7290015137812,Jerusalem Wineries King’s Cellar Cabernet Sauvignon,1,28.81
16,62571,51,7290010173037,Galil Mountain Bar Rose,1,32.2
17,62571,7720,7290006744982,Mony M Wave,1,33.05
18,62571,8094,7290017323428,Jerusalem Wineries King's Cellar Rose,1,33.05
19,62571,8101,7290017323701,Jerusalem Wineries Vintage Chardonnay,1,33.05
20,62571,8162,7290010888146,Ramat Negev Kadesh Barnea Rosé,1,50
21,62583,8836,7290011240547,1848 2nd Generation Rose,1,63.56
22,62583,7838,7290011240516,1848 2nd Generation Cabernet Sauvignon,1,63.56
23,62583,4449,7290011240554,1848 5th Generation Cabernet Franc,1,80.51
24,62583,54106,7608514742206,Bazak Grenache,1,84.75
25,62583,58130,7290108620498,Zion Capital Lions Gate Rose,1,50
26,62584,126,7290010888238,Ramat Negev Kadesh Barnea Malbec,3,150
27,62584,1863,7290016693928,Hayotzer Legato Barbera,3,150
28,62584,55090,7290015951616,Gamla Sangiovese,3,160.17
29,62584,57878,7290108620504,Zion Capital Lions Gate White,3,150
30,62584,60868,99001001,Pulltex Button Lever Corkscrew,1,0
31,62622,57922,7290004528690,Adir Kerem Ben Zimra Shiraz,1,75.42
32,62622,58560,7290013755391,Ben David Romi,1,67.8
33,62622,53914,7290017983172,Adir Kerem Ben Zimra Grenache Blanc,1,75.42
34,62622,119,7290018795071,Ouriel Blend,1,75.42
35,62622,57365,7290010173853,Galil Mountain Or Barbera,2,135.59
36,62622,39,7290017309361,Eviatar Vineyard GSM,1,76.27
37,62622,58221,7290020284389,Jezreel Gewurztraminer,1,66.95
38,62627,4455,7290011240752,1848 2nd Generation Chardonnay,1,63.56
39,62627,9640,7290018870389,Tzora Judean Hills Blanc,1,101.69
40,62627,58874,7290019697138,Flam Camellia,1,139.83
41,62627,7998,7290016717679,Carmel Kayoumi Vineyard Riesling,1,77.97
42,62627,7793,7290005966422,Yarden Chardonnay,1,63.56
43,62627,9393,7290008497831,Agur Blanc,1,78.81
44,62630,8101,7290017323701,Jerusalem Wineries Vintage Chardonnay,1,33.05
45,62630,51,7290010173037,Galil Mountain Bar Rose,1,32.2
46,62630,53271,7290017323695,Jerusalem Wineries Vintage Malbec Shiraz,1,32.2
47,62630,9231,7290006744913,Mony Nahal Caladoc Rose,1,46.61
48,62630,126,7290010888238,Ramat Negev Kadesh Barnea Malbec,1,50
49,62630,55150,87752033968,La Maison Bleue Sauvignon Blanc,1,40.68
50,62630,1863,7290016693928,Hayotzer Legato Barbera,1,50
51,62630,12363,7290018795057,Ouriel Merlot,1,75.42
52,62635,54982,7443017560410,Nana Grenache,3,254.24
53,62635,59144,7443017560151,Nana Chardonnay,3,279.66
54,62635,57590,7290006744371,Mony Estate Reserve Rose,1,75.42
55,62653,126,7290010888238,Ramat Negev Kadesh Barnea Malbec,1,50
56,62653,125,7290010888177,Ramat Negev Kadesh Barnea Cabernet Sauvignon,1,50
57,62653,8902,7290108620023,Zion Winery Capital Cabernet Sauvignon,1,49.15
58,62655,7897,7290005966262,Yarden Gewurztraminer,1,61.86
59,62655,8006,7290019369530,Castel 'C' Blanc du Castel,1,127.12
60,62655,1737,693493135238,Shiran Semillon,1,93.22
61,62655,12363,7290018795057,Ouriel Merlot,1,75.42
62,62657,1487,7290006505316,Kishor Cabernet Franc,1,83.9
63,62657,105,7290010063505,Netofa Latour Red,1,135.59
64,62657,122,729001125801,Pasco BDX,1,93.22
65,62657,7986,7290008497817,Agur Kessem,1,78.81
66,62657,7990,321654876548,Backoushe The Blacksmith,1,110.17
67,62657,8154,87752025970,Netofa DOR Syrah,1,161.02
68,62657,9352,8427154011812,Capcanes Flor de Flor de Primavera Garnatxa,1,355.93
69,62657,62374,7290019302018,Yatir Forest Magnum,1,635.59
70,62657,61427,7290004528768,Adir Plato Magnum,1,355.93
71,62657,61436,7290017289052,Teperberg Essence Malbec Magnum,1,211.86
72,62657,54233,850008847059,Tabernacle Betzalel Ketoret,1,156.78
73,62657,8053,7290018414323,Gvaot Gofna Pinot Noir Reserve,1,135.59
74,62657,58805,7290019158240,Tura Mountain Heights Merlot,1,118.64
75,62657,59012,7290018870297,Tzora Judean Hills Red,1,101.69
76,62657,61785,7290018832486,Meshek Achiya Artichoke Truffle Spread,1,16.95
77,62657,61790,112800000000,Meshek Achiya Picual Olive Oil 100ml,1,11.86
78,62657,60868,99001001,Pulltex Button Lever Corkscrew,1,0
79,62657,8185,7290015781275,Teperberg Moscato White,2,59.32
80,62657,8182,7290015781268,Teperberg Moscato Red,2,59.32
81,62657,8081,7290016693799,Hayotzer Moscato Rose,2,59.32
82,62664,9164,7290015781107,Teperberg Impression Sangiovese,12,457.63
83,62677,55138,7290015137003,Jerusalem Wineries Premium Cabernet Sauvignon,1,46
84,62677,4449,7290011240554,1848 5th Generation Cabernet Franc,1,74.07
85,62677,58230,7290018940273,Hayotzer Danza Swing,2,92
86,62677,1863,7290016693928,Hayotzer Legato Barbera,2,92
87,62677,53197,7290014440913,Midbar 22 Cabernet Franc,2,62.37
88,62677,53197,7290014440913,Midbar 22 Cabernet Franc,1,31.19
89,62686,8121,7290013910448,La Foret Blanche Talpiot Dry Red,1,66.95
90,62686,1863,7290016693928,Hayotzer Legato Barbera,1,50
91,62686,7793,7290005966422,Yarden Chardonnay,1,63.56
92,62686,58789,7290017647722,Gamla Blanco,1,50.85
93,62693,53940,850008847585,Tabernacle Betzalel Cabernet Sauvignon,2,313.56
94,62693,54233,850008847059,Tabernacle Betzalel Ketoret,1,156.78
95,62722,58728,7290015137812,Jerusalem Wineries King’s Cellar Cabernet Sauvignon,1,28.81
96,62722,58831,7290006744852,Mony M Shiraz,1,33.05
97,62722,53197,7290014440913,Midbar 22 Cabernet Franc,1,33.9
98,62722,1863,7290016693928,Hayotzer Legato Barbera,1,50
99,62722,55121,7290015137577,Jerusalem Wineries Premium Marselan,2,100
100,62722,9323,7290006744876,Mony Nahal Petite Sirah,1,50
101,62722,55138,7290015137003,Jerusalem Wineries Premium Cabernet Sauvignon,1,50
102,62722,58230,7290018940273,Hayotzer Danza Swing,1,50
103,62722,7774,7290017289779,Teperberg Inspire Malbec Marselan,1,59.32
104,62725,55138,7290015137003,Jerusalem Wineries Premium Cabernet Sauvignon,3,150
105,62725,125,7290010888177,Ramat Negev Kadesh Barnea Cabernet Sauvignon,2,100
106,62725,54140,7290101582366,Binyamina Moshava Cabernet Sauvignon,3,96.61
107,62725,7838,7290011240516,1848 2nd Generation Cabernet Sauvignon,2,127.12
108,62725,4449,7290011240554,1848 5th Generation Cabernet Franc,1,80.51
109,62727,21,7290101582403,Binyamina Moshava Shiraz,1,32.2
110,62727,159,7290016248074,Vitkin Israeli Journey Red,1,67.8
111,62727,126,7290010888238,Ramat Negev Kadesh Barnea Malbec,1,50
112,62727,1873,7290101582397,Binyamina Moshava Merlot,1,32.2
113,62727,,7290018810033,Teperberg Essence Malbec,1,83.9
114,62727,55121,7290015137577,Jerusalem Wineries Premium Marselan,1,50
115,62727,57084,7290006744814,Mony Estate Reserve Cabernet Sauvignon,1,75.42
116,62727,60868,99001001,Pulltex Button Lever Corkscrew,1,0
117,62744,7774,7290017289779,Teperberg Inspire Malbec Marselan,1,59.32
118,62744,55090,7290015951616,Golan Heights Gamla Sangiovese,1,53.39
119,62744,21,7290101582403,Binyamina Moshava Shiraz,1,32.2
120,62744,9323,7290006744876,Mony Nahal Petite Sirah,1,50
121,62744,8254,7290101582359,Binyamina Moshava Chardonnay,1,32.2
122,62744,58789,7290017647722,Golan Heights Gamla Blanco,1,50.85
123,62744,1873,7290101582397,Binyamina Moshava Merlot,1,32.2
124,62744,54140,7290101582366,Binyamina Moshava Cabernet Sauvignon,1,32.2
125,62745,21,7290101582403,Binyamina Moshava Shiraz,1,32.2
126,62745,58230,7290018940273,Hayotzer Danza Swing,1,50
127,62745,51,7290010173037,Galil Mountain Bar Rosé,2,64.41
128,62745,9164,7290015781107,Teperberg Impression Sangiovese,1,38.14
129,62745,7774,7290017289779,Teperberg Inspire Malbec Marselan,1,59.32
130,62745,55150,87752033968,La Maison Bleue Sauvignon Blanc,1,40.68
131,62745,58843,8430961101928,Santalba Vina Hermosa Rioja,1,50
132,62745,8902,7290108620023,Zion Capital Cabernet Sauvignon,1,49.15
133,62746,21,7290101582403,Binyamina Moshava Shiraz,1,32.2
134,62746,58230,7290018940273,Hayotzer Danza Swing,1,50
135,62746,51,7290010173037,Galil Mountain Bar Rosé,2,64.41
136,62746,9164,7290015781107,Teperberg Impression Sangiovese,1,38.14
137,62746,7774,7290017289779,Teperberg Inspire Malbec Marselan,1,59.32
138,62746,55150,87752033968,La Maison Bleue Sauvignon Blanc,1,40.68
139,62746,58843,8430961101928,Santalba Vina Hermosa Rioja,1,50
140,62746,8902,7290108620023,Zion Capital Cabernet Sauvignon,1,49.15
141,62749,21,7290101582403,Binyamina Moshava Shiraz,1,32.2
142,62749,51,7290010173037,Galil Mountain Bar Rose,1,32.2
143,62749,58230,7290018940273,Hayotzer Danza Swing,1,50
144,62749,53271,7290017323695,Jerusalem Wineries Vintage Malbec Shiraz,1,32.2
145,62749,55150,87752033968,La Maison Bleue Sauvignon Blanc,1,40.68
146,62749,9164,7290015781107,Teperberg Impression Sangiovese,1,38.14
147,62749,7774,7290017289779,Teperberg Inspire Malbec Marselan,1,59.32
148,62749,159,7290016248074,Vitkin Israeli Journey Red,1,67.8
149,62749,55102,7290019369486,Castel La Vie Blanc,2,133.9
150,62749,59008,87752011546,Psagot Chardonnay,1,63.56
151,62749,9231,7290006744913,Mony Nahal Caladoc Rose,1,46.61
152,62750,57088,7290010517909,Flam White Label,6,838.98
153,62751,58843,8430961101928,Santalba Vina Hermosa Rioja,2,100
154,62751,9164,7290015781107,Teperberg Impression Sangiovese,2,76.27
155,62751,7774,7290017289779,Teperberg Inspire Malbec Marselan,2,118.64
156,62751,8902,7290108620023,Zion Winery Capital Cabernet Sauvignon,2,98.31
157,62751,12363,7290018795057,Ouriel Merlot,1,75.42
158,62752,62374,7290019302018,Yatir Forest Magnum,1,635.59
159,62753,61848,7290019697022,Flam Cabernet Sauvignon Reserve Double Magnum,1,762.71
160,62759,59016,7290018870303,Tzora Shoresh Red,4,572.88
161,62801,62175,7290008921640,Tishbi Pet Nat,1,63.56
162,62801,8162,7290010888146,Ramat Negev Kadesh Barnea Rosé,1,50
163,62801,7895,7290015279338,Jezreel Dereh Hayam Rose,1,76.27
164,62801,7318,7290019488446,Odem Mountain Volcanic Gamay Noir Cabernet Sauvignon,1,66.95
165,62801,62147,7290010287574,Shorr Sha'ar HaGai Cabernet Sauvignon,1,84.75
166,62802,21,7290101582403,Binyamina Moshava Shiraz,1,33.05
167,62802,9164,7290015781107,Teperberg Impression Sangiovese,3,114.41
168,62802,7774,7290017289779,Teperberg Inspire Malbec Marselan,1,59.32
169,62802,53271,7290017323695,Jerusalem Wineries Vintage Malbec Shiraz,1,33.05
170,62802,58843,8430961101928,Santalba Vina Hermosa Rioja,1,50
171,62802,8902,7290108620023,Zion Capital Cabernet Sauvignon,1,49.15
172,62803,7986,7290008497817,Agur Kessem,6,472.88
173,62867,62647,765066166571,Ben Ami Harei Besamim,1,131.36
174,62867,62786,7290103681890,Tabor Artisanal Sauvignon Blanc,1,55.08
175,62867,62863,7290008921800,Tishbi Vineyards Cabernet Merlot,1,50
176,62867,62791,7290103681937,Tabor Artisanal Chenin Blanc,1,55.08
177,62867,62382,729008426213,Chevel Yehuda Hetzron,2,194.92
178,62872,21,7290101582403,Binyamina Moshava Shiraz,2,66.1
179,62872,8254,7290101582359,Binyamina Moshava Chardonnay,3,99.15
180,62872,55150,87752033968,La Maison Bleue Sauvignon Blanc,2,81.36
181,62872,8094,7290017323428,Jerusalem Wineries King's Cellar Rose,1,33.05
182,62872,8162,7290010888146,Ramat Negev Kadesh Barnea Rosé,1,50
183,62872,9231,7290006744913,Mony Nahal Caladoc Rose,1,50
184,62872,55090,7290015951616,Gamla Sangiovese,1,53.39
185,62872,62791,7290103681937,Tabor Artisanal Chenin Blanc,1,55.08
186,62875,62185,7290018907429,Pinto Chenin Blanc,1,67.8
187,62875,1863,7290016693928,Hayotzer Legato Barbera,1,50
188,62875,126,7290010888238,Ramat Negev Kadesh Barnea Malbec,4,200
189,62875,7318,7290019488446,Odem Mountain Volcanic Gamay Noir Cabernet Sauvignon,1,66.95
190,62875,124,7290010888153,Ramat Negev Kadesh Barnea Blend,4,200
191,62875,1467,7290006505224,Kishor Red Blend,1,72.03
192,62875,53271,7290017323695,Jerusalem Wineries Vintage Malbec Shiraz,1,33.05
193,62875,58843,8430961101928,Santalba Vina Hermosa Rioja,1,50
194,62875,62193,7290010888726,Ramat Negev BaHuena,1,63.56
195,62875,62189,7290019369332,Castel La Vie Rouge,1,66.95
196,62875,159,7290016248074,Vitkin Israeli Journey Red,1,67.8
197,62875,60868,99001001,Pulltex Button Lever Corkscrew,1,0
198,62876,119,7290018795071,Ouriel Blend,1,75.42
199,62876,54146,7290019735007,Nevo Winery Summer,1,88.98
